event_id,customer_id,event_date,event_type,channel
E00104,C0078,2026-07-21,LOGIN,WEB
E00105,C0115,2026-03-26,PRODUCT_VIEW,MOBILE
E00106,C0094,2026-03-03,PAGE_VIEW,EMAIL
E00107,C0010,2026-08-06,SEARCH,EMAIL
E00108,C0004,2026-03-15,SEARCH,MOBILE
E00109,C0099,2026-03-12,PRODUCT_VIEW,WEB
E00110,C0071,2026-06-05,SEARCH,EMAIL
E00111,C0061,2026-02-24,PRODUCT_VIEW,MOBILE
E00112,C0051,2026-06-14,SEARCH,EMAIL
E00113,C0110,2026-05-28,PRODUCT_VIEW,MOBILE
E00114,C0065,2026-04-02,PAGE_VIEW,MOBILE
E00115,C0047,2026-04-04,PAGE_VIEW,EMAIL
E00116,C0031,2026-03-06,PRODUCT_VIEW,EMAIL
E00117,C0018,2026-04-18,PRODUCT_VIEW,WEB
E00118,C0073,2026-03-19,PRODUCT_VIEW,EMAIL
E00119,C0094,2026-04-09,LOGIN,WEB
E00120,C0029,2026-04-08,PRODUCT_VIEW,WEB
E00121,C0034,2026-05-08,PRODUCT_VIEW,WEB
E00122,C0086,2026-06-19,SEARCH,MOBILE
E00123,C0050,2026-04-12,CART,WEB
E00124,C0006,2026-02-25,LOGIN,WEB
E00125,C0091,2026-03-30,LOGIN,EMAIL
E00126,C0034,2026-03-15,SEARCH,EMAIL
E00127,C0023,2026-05-06,CART,MOBILE
E00128,C0076,2026-02-24,PAGE_VIEW,EMAIL
E00129,C0033,2026-05-06,PRODUCT_VIEW,EMAIL
E00130,C0052,2026-05-12,LOGIN,MOBILE
E00131,C0102,2026-04-09,SEARCH,WEB
E00132,C0065,2026-07-06,CART,WEB
E00133,C0030,2026-07-22,SEARCH,EMAIL
E00134,C0036,2026-06-17,PRODUCT_VIEW,WEB
E00135,C0021,2026-05-10,SEARCH,EMAIL
E00136,C0105,2026-07-11,PRODUCT_VIEW,MOBILE
E00137,C0104,2026-05-18,PAGE_VIEW,MOBILE
E00138,C0087,2026-04-10,CART,WEB
E00139,C0076,2026-06-30,CART,WEB
E00140,C0032,2026-07-30,PRODUCT_VIEW,EMAIL
E00141,C0076,2026-06-30,PRODUCT_VIEW,EMAIL
E00142,C0066,2026-07-31,SEARCH,WEB
E00143,C0008,2026-06-29,LOGIN,WEB
E00144,C0067,2026-04-29,SEARCH,EMAIL
E00145,C0082,2026-08-06,LOGIN,WEB
E00146,C0028,2026-04-18,SEARCH,MOBILE
E00147,C0112,2026-04-09,PRODUCT_VIEW,WEB
E00148,C0107,2026-04-27,SEARCH,WEB
E00149,C0102,2026-03-14,PRODUCT_VIEW,EMAIL
E00150,C0085,2026-04-02,LOGIN,WEB
E00151,C0093,2026-02-16,LOGIN,MOBILE
E00152,C0077,2026-03-12,PAGE_VIEW,WEB
E00153,C0049,2026-05-04,PRODUCT_VIEW,WEB
E00154,C0003,2026-06-20,SEARCH,EMAIL
E00155,C0088,2026-04-25,PRODUCT_VIEW,EMAIL
E00156,C0013,2026-06-26,CART,EMAIL
E00157,C0077,2026-08-01,SEARCH,EMAIL
E00158,C0097,2026-07-11,PAGE_VIEW,MOBILE
E00159,C0085,2026-07-08,SEARCH,EMAIL
E00160,C0106,2026-08-10,CART,EMAIL
E00161,C0054,2026-05-08,PAGE_VIEW,EMAIL
E00162,C0068,2026-04-23,PRODUCT_VIEW,MOBILE
E00163,C0102,2026-05-05,LOGIN,EMAIL
E00164,C0103,2026-02-13,SEARCH,WEB
E00165,C0055,2026-07-07,LOGIN,MOBILE
E00166,C0099,2026-06-12,PAGE_VIEW,MOBILE
E00167,C0077,2026-03-24,CART,MOBILE
E00168,C0025,2026-08-09,PAGE_VIEW,EMAIL
E00169,C0067,2026-07-11,SEARCH,WEB
E00170,C0049,2026-02-24,PRODUCT_VIEW,EMAIL
E00171,C0103,2026-05-22,CART,MOBILE
E00172,C0014,2026-07-02,CART,EMAIL
E00173,C0075,2026-06-07,LOGIN,EMAIL
E00174,C0055,2026-03-19,LOGIN,EMAIL
E00175,C0036,2026-02-17,CART,WEB
E00176,C0053,2026-03-22,SEARCH,MOBILE
E00177,C0023,2026-05-08,SEARCH,EMAIL
E00178,C0062,2026-06-07,LOGIN,EMAIL
E00179,C0045,2026-02-11,CART,EMAIL
E00180,C0018,2026-02-23,PAGE_VIEW,EMAIL
E00181,C0030,2026-04-18,PRODUCT_VIEW,WEB
E00182,C0028,2026-04-02,CART,MOBILE
E00183,C0103,2026-03-23,SEARCH,EMAIL
E00184,C0088,2026-02-11,PAGE_VIEW,WEB
E00185,C0050,2026-03-01,PAGE_VIEW,WEB
E00186,C0106,2026-07-04,CART,EMAIL
E00187,C0056,2026-07-19,PAGE_VIEW,MOBILE
E00188,C0029,2026-05-08,PAGE_VIEW,EMAIL
E00189,C0005,2026-05-04,CART,EMAIL
E00190,C0084,2026-03-30,LOGIN,EMAIL
E00191,C0077,2026-07-27,PRODUCT_VIEW,EMAIL
E00192,C0064,2026-04-20,PAGE_VIEW,WEB
E00193,C0109,2026-02-23,SEARCH,MOBILE
E00194,C0025,2026-08-02,SEARCH,EMAIL
E00195,C0067,2026-02-13,PRODUCT_VIEW,EMAIL
E00196,C0022,2026-02-19,PAGE_VIEW,MOBILE
E00197,C0031,2026-02-24,PAGE_VIEW,WEB
E00198,C0012,2026-06-01,CART,MOBILE
E00199,C0086,2026-05-01,CART,EMAIL
E00200,C0026,2026-03-31,PAGE_VIEW,EMAIL
E00201,C0091,2026-07-24,PAGE_VIEW,EMAIL
E00202,C0037,2026-03-20,SEARCH,MOBILE
E00203,C0045,2026-06-01,PRODUCT_VIEW,EMAIL
E00204,C0025,2026-04-16,CART,EMAIL
E00205,C0001,2026-06-05,PRODUCT_VIEW,MOBILE
E00206,C0065,2026-07-14,SEARCH,WEB
E00207,C0065,2026-05-27,LOGIN,WEB
E00208,C0103,2026-04-01,LOGIN,EMAIL
E00209,C0105,2026-03-16,LOGIN,EMAIL
E00210,C0057,2026-05-06,SEARCH,MOBILE
E00211,C0099,2026-06-09,LOGIN,MOBILE
E00212,C0088,2026-04-15,SEARCH,WEB
E00213,C0062,2026-07-12,LOGIN,WEB
E00214,C0049,2026-03-01,PRODUCT_VIEW,EMAIL
E00215,C0090,2026-06-13,LOGIN,MOBILE
E00216,C0046,2026-03-31,SEARCH,WEB
E00217,C0090,2026-06-04,PRODUCT_VIEW,MOBILE
E00218,C0012,2026-04-30,LOGIN,WEB
E00219,C0071,2026-06-26,CART,MOBILE
E00220,C0046,2026-06-16,SEARCH,MOBILE
E00221,C0024,2026-02-17,PRODUCT_VIEW,MOBILE
E00222,C0095,2026-06-20,PRODUCT_VIEW,EMAIL
E00223,C0031,2026-06-04,PRODUCT_VIEW,WEB
E00224,C0026,2026-06-08,SEARCH,MOBILE
E00225,C0020,2026-07-14,PAGE_VIEW,WEB
E00226,C0087,2026-02-22,CART,EMAIL
E00227,C0001,2026-03-25,PAGE_VIEW,MOBILE
E00228,C0048,2026-03-05,LOGIN,MOBILE
E00229,C0115,2026-03-16,LOGIN,MOBILE
E00230,C0024,2026-04-02,LOGIN,MOBILE
E00231,C0029,2026-03-16,PRODUCT_VIEW,WEB
E00232,C0068,2026-04-24,CART,EMAIL
E00233,C0005,2026-04-04,LOGIN,MOBILE
E00234,C0111,2026-02-16,PRODUCT_VIEW,MOBILE
E00235,C0016,2026-02-13,SEARCH,MOBILE
E00236,C0041,2026-02-15,PAGE_VIEW,WEB
E00237,C0087,2026-06-18,CART,EMAIL
E00238,C0013,2026-05-19,LOGIN,EMAIL
E00239,C0111,2026-06-05,PRODUCT_VIEW,EMAIL
E00240,C0034,2026-06-11,LOGIN,MOBILE
E00241,C0079,2026-05-15,LOGIN,WEB
E00242,C0064,2026-04-24,PRODUCT_VIEW,MOBILE
E00243,C0090,2026-05-07,LOGIN,MOBILE
E00244,C0036,2026-04-17,PRODUCT_VIEW,EMAIL
E00245,C0017,2026-03-16,PRODUCT_VIEW,WEB
E00246,C0093,2026-06-02,PRODUCT_VIEW,EMAIL
E00247,C0056,2026-05-05,PRODUCT_VIEW,WEB
E00248,C0103,2026-07-03,CART,WEB
E00249,C0023,2026-04-25,CART,WEB
E00250,C0115,2026-03-02,SEARCH,EMAIL
E00251,C0093,2026-05-22,CART,MOBILE
E00252,C0033,2026-03-20,SEARCH,WEB
E00253,C0051,2026-07-16,PRODUCT_VIEW,WEB
E00254,C0028,2026-06-06,CART,EMAIL
E00255,C0013,2026-04-17,LOGIN,MOBILE
E00256,C0047,2026-05-10,SEARCH,EMAIL
E00257,C0120,2026-06-06,LOGIN,WEB
E00258,C0053,2026-07-10,LOGIN,EMAIL
E00259,C0078,2026-06-21,SEARCH,EMAIL
E00260,C0084,2026-02-25,SEARCH,WEB
E00261,C0100,2026-05-30,LOGIN,MOBILE
E00262,C0087,2026-04-02,CART,EMAIL
E00263,C0058,2026-07-21,CART,EMAIL
E00264,C0037,2026-04-14,PRODUCT_VIEW,WEB
E00265,C0082,2026-05-16,CART,EMAIL
E00266,C0079,2026-03-17,CART,WEB
E00267,C0011,2026-06-30,LOGIN,WEB
E00268,C0041,2026-05-21,LOGIN,EMAIL
E00269,C0035,2026-03-09,CART,MOBILE
E00270,C0114,2026-04-19,LOGIN,EMAIL
E00271,C0076,2026-03-30,CART,MOBILE
E00272,C0022,2026-06-24,PAGE_VIEW,WEB
E00273,C0094,2026-06-11,LOGIN,EMAIL
E00274,C0090,2026-07-21,PRODUCT_VIEW,WEB
E00275,C0051,2026-07-15,PAGE_VIEW,WEB
E00276,C0120,2026-04-11,SEARCH,WEB
E00277,C0004,2026-05-01,SEARCH,WEB
E00278,C0014,2026-06-04,SEARCH,WEB
E00279,C0011,2026-02-24,CART,MOBILE
E00280,C0030,2026-06-08,LOGIN,MOBILE
E00281,C0081,2026-07-09,PRODUCT_VIEW,EMAIL
E00282,C0108,2026-06-28,PAGE_VIEW,WEB
E00283,C0085,2026-05-11,LOGIN,MOBILE
E00284,C0060,2026-03-25,LOGIN,EMAIL
E00285,C0057,2026-07-07,SEARCH,WEB
E00286,C0076,2026-03-11,CART,EMAIL
E00287,C0096,2026-03-01,SEARCH,MOBILE
E00288,C0068,2026-02-28,SEARCH,MOBILE
E00289,C0117,2026-05-14,CART,EMAIL
E00290,C0030,2026-07-19,CART,MOBILE
E00291,C0047,2026-04-27,LOGIN,WEB
E00292,C0039,2026-08-08,PAGE_VIEW,EMAIL
E00293,C0105,2026-07-07,LOGIN,MOBILE
E00294,C0061,2026-03-27,PAGE_VIEW,EMAIL
E00295,C0119,2026-04-07,CART,MOBILE
E00296,C0002,2026-04-22,LOGIN,EMAIL
E00297,C0030,2026-08-09,SEARCH,MOBILE
E00298,C0025,2026-04-27,SEARCH,MOBILE
E00299,C0051,2026-06-08,PRODUCT_VIEW,EMAIL
E00300,C0095,2026-02-26,CART,MOBILE
E00301,C0029,2026-06-04,PAGE_VIEW,MOBILE
E00302,C0081,2026-06-10,SEARCH,EMAIL
E00303,C0104,2026-02-14,LOGIN,MOBILE
E00304,C0084,2026-03-27,LOGIN,MOBILE
E00305,C0025,2026-07-24,PRODUCT_VIEW,WEB
E00306,C0038,2026-07-13,CART,EMAIL
E00307,C0058,2026-06-02,SEARCH,MOBILE
E00308,C0025,2026-05-20,PAGE_VIEW,WEB
E00309,C0007,2026-03-27,PAGE_VIEW,WEB
E00310,C0014,2026-05-30,LOGIN,WEB
E00311,C0092,2026-04-20,PAGE_VIEW,WEB
E00312,C0012,2026-07-03,PAGE_VIEW,MOBILE
E00313,C0028,2026-05-15,CART,MOBILE
E00314,C0101,2026-04-05,LOGIN,MOBILE
E00315,C0090,2026-08-02,LOGIN,WEB
E00316,C0108,2026-07-04,PAGE_VIEW,MOBILE
E00317,C0100,2026-05-02,PAGE_VIEW,EMAIL
E00318,C0061,2026-06-25,PRODUCT_VIEW,MOBILE
E00319,C0105,2026-05-05,PAGE_VIEW,WEB
E00320,C0099,2026-06-08,CART,MOBILE
E00321,C0032,2026-08-02,PRODUCT_VIEW,MOBILE
E00322,C0095,2026-07-17,SEARCH,EMAIL
E00323,C0027,2026-04-11,CART,EMAIL
E00324,C0040,2026-05-20,PRODUCT_VIEW,EMAIL
E00325,C0094,2026-07-31,SEARCH,EMAIL
E00326,C0016,2026-06-07,CART,EMAIL
E00327,C0039,2026-06-21,LOGIN,WEB
E00328,C0111,2026-02-21,PRODUCT_VIEW,WEB
E00329,C0031,2026-03-01,CART,MOBILE
E00330,C0002,2026-06-29,LOGIN,EMAIL
E00331,C0016,2026-05-01,PRODUCT_VIEW,WEB
E00332,C0006,2026-03-15,CART,EMAIL
E00333,C0077,2026-07-02,LOGIN,WEB
E00334,C0032,2026-07-01,CART,WEB
E00335,C0088,2026-03-05,LOGIN,EMAIL
E00336,C0008,2026-07-26,LOGIN,EMAIL
E00337,C0020,2026-02-12,SEARCH,WEB
E00338,C0017,2026-04-08,PRODUCT_VIEW,MOBILE
E00339,C0072,2026-02-26,LOGIN,MOBILE
E00340,C0094,2026-06-22,PAGE_VIEW,EMAIL
E00341,C0049,2026-05-11,PRODUCT_VIEW,MOBILE
E00342,C0116,2026-07-31,CART,EMAIL
E00343,C0057,2026-03-20,LOGIN,EMAIL
E00344,C0090,2026-04-07,PRODUCT_VIEW,EMAIL
E00345,C0024,2026-03-24,LOGIN,MOBILE
E00346,C0094,2026-04-13,LOGIN,EMAIL
E00347,C0118,2026-03-22,PRODUCT_VIEW,WEB
E00348,C0068,2026-07-02,CART,MOBILE
E00349,C0105,2026-06-04,SEARCH,MOBILE
E00350,C0059,2026-08-10,SEARCH,MOBILE
E00351,C0094,2026-06-24,PAGE_VIEW,EMAIL
E00352,C0110,2026-05-09,SEARCH,WEB
E00353,C0042,2026-07-25,SEARCH,MOBILE
E00354,C0025,2026-03-29,CART,EMAIL
E00355,C0020,2026-03-07,LOGIN,MOBILE
E00356,C0053,2026-02-27,LOGIN,WEB
E00357,C0013,2026-03-30,PAGE_VIEW,WEB
E00358,C0107,2026-07-08,PRODUCT_VIEW,WEB
E00359,C0026,2026-07-14,CART,WEB
E00360,C0013,2026-08-02,SEARCH,EMAIL
E00361,C0108,2026-05-03,CART,EMAIL
E00362,C0080,2026-02-12,SEARCH,MOBILE
E00363,C0007,2026-05-09,PRODUCT_VIEW,EMAIL
E00364,C0092,2026-07-23,PAGE_VIEW,WEB
E00365,C0084,2026-04-07,PAGE_VIEW,MOBILE
E00366,C0103,2026-02-28,PAGE_VIEW,MOBILE
E00367,C0072,2026-04-26,LOGIN,EMAIL
E00368,C0008,2026-03-06,LOGIN,EMAIL
E00369,C0006,2026-07-23,LOGIN,WEB
E00370,C0028,2026-03-31,PAGE_VIEW,WEB
E00371,C0093,2026-06-12,SEARCH,MOBILE
E00372,C0025,2026-06-22,SEARCH,EMAIL
E00373,C0032,2026-03-18,PRODUCT_VIEW,EMAIL
E00374,C0096,2026-03-21,CART,EMAIL
E00375,C0014,2026-02-28,SEARCH,MOBILE
E00376,C0087,2026-04-15,CART,WEB
E00377,C0022,2026-06-25,SEARCH,MOBILE
E00378,C0065,2026-05-16,PRODUCT_VIEW,EMAIL
E00379,C0077,2026-04-19,LOGIN,MOBILE
E00380,C0071,2026-05-19,LOGIN,MOBILE
E00381,C0098,2026-03-01,CART,EMAIL
E00382,C0042,2026-03-08,PRODUCT_VIEW,EMAIL
E00383,C0070,2026-06-17,CART,EMAIL
E00384,C0119,2026-06-06,LOGIN,MOBILE
E00385,C0058,2026-05-01,PAGE_VIEW,EMAIL
E00386,C0005,2026-05-30,SEARCH,WEB
E00387,C0067,2026-07-07,LOGIN,WEB
E00388,C0039,2026-06-15,PRODUCT_VIEW,MOBILE
E00389,C0003,2026-02-15,LOGIN,EMAIL
E00390,C0066,2026-03-21,SEARCH,EMAIL
E00391,C0020,2026-07-17,PAGE_VIEW,MOBILE
E00392,C0046,2026-07-02,PRODUCT_VIEW,MOBILE
E00393,C0047,2026-03-14,PRODUCT_VIEW,WEB
E00394,C0033,2026-05-26,PAGE_VIEW,EMAIL
E00395,C0052,2026-03-18,PRODUCT_VIEW,EMAIL
E00396,C0010,2026-05-19,CART,WEB
E00397,C0063,2026-02-15,SEARCH,WEB
E00398,C0077,2026-02-27,LOGIN,WEB
E00399,C0094,2026-03-16,CART,WEB
E00400,C0100,2026-07-27,LOGIN,MOBILE
E00401,C0113,2026-04-21,CART,WEB
E00402,C0112,2026-06-13,SEARCH,WEB
E00403,C0082,2026-03-02,CART,WEB
E00404,C0040,2026-03-29,PAGE_VIEW,MOBILE
E00405,C0070,2026-03-19,PRODUCT_VIEW,MOBILE
E00406,C0065,2026-02-13,PRODUCT_VIEW,WEB
E00407,C0007,2026-02-19,CART,MOBILE
E00408,C0097,2026-03-11,SEARCH,EMAIL
E00409,C0012,2026-06-15,CART,MOBILE
E00410,C0101,2026-05-02,PRODUCT_VIEW,WEB
E00411,C0044,2026-07-20,CART,EMAIL
E00412,C0096,2026-07-29,SEARCH,MOBILE
E00413,C0034,2026-07-20,CART,EMAIL
E00414,C0056,2026-02-13,PRODUCT_VIEW,WEB
E00415,C0062,2026-03-20,PRODUCT_VIEW,MOBILE
E00416,C0051,2026-02-25,SEARCH,WEB
E00417,C0072,2026-03-06,SEARCH,WEB
E00418,C0032,2026-07-23,LOGIN,MOBILE
E00419,C0042,2026-02-16,SEARCH,WEB
E00420,C0015,2026-02-20,CART,MOBILE
E00421,C0047,2026-05-13,PRODUCT_VIEW,MOBILE
E00422,C0045,2026-03-11,PAGE_VIEW,MOBILE
E00423,C0022,2026-05-13,SEARCH,MOBILE
E00424,C0080,2026-07-04,CART,WEB
E00425,C0119,2026-06-12,PRODUCT_VIEW,EMAIL
E00426,C0048,2026-07-02,PAGE_VIEW,WEB
E00427,C0095,2026-07-28,PRODUCT_VIEW,EMAIL
E00428,C0119,2026-07-04,LOGIN,WEB
E00429,C0044,2026-02-14,PAGE_VIEW,MOBILE
E00430,C0058,2026-04-12,PAGE_VIEW,MOBILE
E00431,C0027,2026-03-26,PRODUCT_VIEW,WEB
E00432,C0070,2026-03-30,LOGIN,EMAIL
E00433,C0062,2026-03-04,PRODUCT_VIEW,EMAIL
E00434,C0090,2026-02-20,PAGE_VIEW,MOBILE
E00435,C0075,2026-02-22,SEARCH,WEB
E00436,C0033,2026-06-28,PAGE_VIEW,MOBILE
E00437,C0026,2026-02-13,SEARCH,MOBILE
E00438,C0007,2026-04-13,PAGE_VIEW,WEB
E00439,C0050,2026-02-22,LOGIN,EMAIL
E00440,C0110,2026-02-23,LOGIN,WEB
E00441,C0003,2026-05-28,CART,WEB
E00442,C0049,2026-04-02,PAGE_VIEW,MOBILE
E00443,C0063,2026-03-11,SEARCH,WEB
E00444,C0024,2026-06-21,SEARCH,MOBILE
E00445,C0072,2026-08-05,PAGE_VIEW,WEB
E00446,C0119,2026-03-28,LOGIN,MOBILE
E00447,C0063,2026-05-02,PRODUCT_VIEW,WEB
E00448,C0045,2026-02-16,LOGIN,MOBILE
E00449,C0081,2026-05-25,PRODUCT_VIEW,EMAIL
E00450,C0036,2026-07-26,LOGIN,MOBILE
E00451,C0114,2026-08-03,SEARCH,MOBILE
E00452,C0029,2026-07-03,LOGIN,MOBILE
E00453,C0085,2026-07-06,PAGE_VIEW,EMAIL
E00454,C0049,2026-03-30,SEARCH,EMAIL
E00455,C0088,2026-06-13,CART,WEB
E00456,C0074,2026-07-02,CART,MOBILE
E00457,C0117,2026-03-09,LOGIN,MOBILE
E00458,C0070,2026-07-08,PRODUCT_VIEW,EMAIL
E00459,C0018,2026-03-15,SEARCH,EMAIL
E00460,C0103,2026-06-20,PRODUCT_VIEW,MOBILE
E00461,C0089,2026-02-11,SEARCH,WEB
E00462,C0056,2026-07-04,SEARCH,WEB
E00463,C0041,2026-07-24,SEARCH,EMAIL
E00464,C0093,2026-07-11,PRODUCT_VIEW,MOBILE
E00465,C0108,2026-07-04,PAGE_VIEW,MOBILE
E00466,C0113,2026-04-27,CART,MOBILE
E00467,C0057,2026-02-28,LOGIN,WEB
E00468,C0100,2026-06-23,PAGE_VIEW,WEB
E00469,C0024,2026-08-04,SEARCH,EMAIL
E00470,C0035,2026-03-08,SEARCH,EMAIL
E00471,C0030,2026-03-11,PRODUCT_VIEW,WEB
E00472,C0088,2026-08-04,LOGIN,WEB
E00473,C0089,2026-04-10,PRODUCT_VIEW,EMAIL
E00474,C0109,2026-03-09,CART,EMAIL
E00475,C0084,2026-05-07,PRODUCT_VIEW,MOBILE
E00476,C0063,2026-04-11,PRODUCT_VIEW,WEB
E00477,C0025,2026-06-14,PAGE_VIEW,MOBILE
E00478,C0098,2026-08-07,LOGIN,MOBILE
E00479,C0029,2026-02-20,PRODUCT_VIEW,WEB
E00480,C0009,2026-06-26,CART,EMAIL
E00481,C0063,2026-02-15,LOGIN,MOBILE
E00482,C0114,2026-06-08,CART,MOBILE
E00483,C0100,2026-07-31,SEARCH,EMAIL
E00484,C0106,2026-05-05,LOGIN,MOBILE
E00485,C0079,2026-03-17,SEARCH,EMAIL
E00486,C0068,2026-02-27,PAGE_VIEW,EMAIL
E00487,C0014,2026-04-17,CART,WEB
E00488,C0113,2026-06-09,SEARCH,EMAIL
E00489,C0051,2026-07-31,SEARCH,MOBILE
E00490,C0067,2026-03-02,PAGE_VIEW,WEB
E00491,C0038,2026-04-20,CART,MOBILE
E00492,C0100,2026-05-29,CART,WEB
E00493,C0055,2026-05-27,SEARCH,WEB
E00494,C0089,2026-03-31,PRODUCT_VIEW,MOBILE
E00495,C0107,2026-02-26,CART,WEB
E00496,C0093,2026-04-04,PAGE_VIEW,WEB
E00497,C0100,2026-03-14,SEARCH,WEB
E00498,C0051,2026-04-27,LOGIN,MOBILE
E00499,C0004,2026-06-26,CART,EMAIL
E00500,C0115,2026-06-20,CART,WEB
E00501,C0033,2026-05-20,PRODUCT_VIEW,EMAIL
E00502,C0094,2026-07-10,PAGE_VIEW,WEB
E00503,C0091,2026-04-17,LOGIN,WEB
