order_id,customer_id,order_date,order_amount,order_status
O00214,C0111,2025-08-29,25485.48,PENDING
O00215,C0109,2025-10-29,13119.24,PENDING
O00216,C0002,2026-03-28,19011.74,PENDING
O00217,C0048,2025-08-31,26340.9,CANCELLED
O00218,C0075,2026-01-27,28873.4,CANCELLED
O00219,C0014,2025-08-30,8566.86,COMPLETED
O00220,C0080,2025-10-27,11816.22,DELIVERED
O00221,C0083,2026-07-09,22421.44,PENDING
O00222,C0117,2025-08-17,10925.56,PENDING
O00223,C0015,2026-05-31,2064.46,COMPLETED
O00224,C0039,2025-12-01,4506.16,DELIVERED
O00225,C0114,2025-11-08,5180.41,PENDING
O00226,C0048,2025-09-01,33253.64,PENDING
O00227,C0076,2026-05-23,31046.78,COMPLETED
O00228,C0107,2025-12-03,21740.0,CANCELLED
O00229,C0005,2025-08-22,13283.28,PENDING
O00230,C0057,2026-04-12,30013.03,COMPLETED
O00231,C0088,2026-02-03,19284.07,CANCELLED
O00232,C0008,2026-01-19,10017.91,COMPLETED
O00233,C0109,2025-12-21,3662.73,DELIVERED
O00234,C0083,2025-09-17,21101.54,COMPLETED
O00235,C0007,2026-02-21,8903.13,DELIVERED
O00236,C0101,2025-10-25,7579.59,DELIVERED
O00237,C0076,2026-04-22,28550.33,DELIVERED
O00238,C0043,2026-05-27,27708.21,COMPLETED
O00239,C0036,2026-05-28,34569.69,CANCELLED
O00240,C0103,2026-05-13,4292.46,COMPLETED
O00241,C0017,2026-08-03,12859.36,DELIVERED
O00242,C0076,2026-02-26,1044.45,CANCELLED
O00243,C0007,2026-06-07,26089.27,COMPLETED
O00244,C0096,2026-07-09,16930.49,CANCELLED
O00245,C0066,2025-10-11,4262.36,DELIVERED
O00246,C0079,2026-07-19,25589.88,CANCELLED
O00247,C0059,2025-09-15,33758.9,COMPLETED
O00248,C0062,2026-01-17,15206.44,COMPLETED
O00249,C0063,2025-08-11,31884.68,COMPLETED
O00250,C0116,2026-06-30,11612.86,DELIVERED
O00251,C0009,2026-06-07,9988.05,CANCELLED
O00252,C0049,2025-10-09,18804.21,PENDING
O00253,C0065,2025-10-05,15341.88,COMPLETED
O00254,C0110,2025-09-09,22956.62,DELIVERED
O00255,C0056,2025-12-22,31139.14,PENDING
O00256,C0044,2025-12-21,14256.19,COMPLETED
O00257,C0041,2026-01-04,11282.06,CANCELLED
O00258,C0048,2026-05-24,24195.33,PENDING
O00259,C0009,2026-06-25,29196.13,COMPLETED
O00260,C0056,2026-06-22,26188.32,CANCELLED
O00261,C0104,2026-06-05,19694.79,CANCELLED
O00262,C0086,2026-06-09,14672.9,PENDING
O00263,C0112,2026-07-15,33909.75,CANCELLED
O00264,C0046,2026-06-18,20438.19,DELIVERED
O00265,C0020,2025-09-08,17135.53,COMPLETED
O00266,C0045,2025-10-30,13180.86,CANCELLED
O00267,C0074,2026-04-17,28349.14,COMPLETED
O00268,C0078,2025-09-08,29116.4,CANCELLED
O00269,C0004,2026-05-10,9927.83,CANCELLED
O00270,C0118,2026-02-18,12610.31,DELIVERED
O00271,C0112,2026-05-29,20038.08,PENDING
O00272,C0009,2026-05-30,26063.43,COMPLETED
O00273,C0012,2025-11-12,7922.08,PENDING
O00274,C0059,2026-02-17,5930.62,CANCELLED
O00275,C0093,2026-02-25,27300.83,COMPLETED
O00276,C0114,2026-07-15,5867.51,COMPLETED
O00277,C0087,2026-06-30,9887.55,PENDING
O00278,C0063,2025-10-04,15750.52,CANCELLED
O00279,C0028,2025-11-21,4426.7,PENDING
O00280,C0015,2026-03-18,23898.52,PENDING
O00281,C0068,2025-09-03,11140.47,DELIVERED
O00282,C0051,2025-10-08,2389.98,DELIVERED
O00283,C0039,2026-04-24,26973.56,CANCELLED
O00284,C0038,2026-02-24,4639.46,PENDING
O00285,C0096,2026-01-02,6561.47,PENDING
O00286,C0069,2025-08-15,8438.82,CANCELLED
O00287,C0010,2026-01-19,30230.87,COMPLETED
O00288,C0056,2026-08-01,16361.52,COMPLETED
O00289,C0111,2026-03-03,20363.69,PENDING
O00290,C0091,2025-09-17,14910.44,COMPLETED
O00291,C0052,2026-07-31,33833.89,DELIVERED
O00292,C0103,2025-09-28,16373.34,CANCELLED
O00293,C0012,2025-12-30,29634.71,DELIVERED
O00294,C0056,2025-10-13,14315.52,COMPLETED
O00295,C0051,2026-03-05,26230.27,DELIVERED
O00296,C0043,2026-05-16,3135.09,COMPLETED
O00297,C0068,2025-11-22,7189.68,CANCELLED
O00298,C0045,2025-09-14,28618.78,DELIVERED
O00299,C0014,2026-05-28,9330.9,DELIVERED
O00300,C0078,2026-05-24,26727.43,COMPLETED
O00301,C0023,2025-09-23,17547.04,PENDING
O00302,C0088,2025-10-25,22683.22,CANCELLED
O00303,C0111,2025-09-23,11406.79,PENDING
O00304,C0009,2025-12-13,15756.18,CANCELLED
O00305,C0102,2026-03-23,20903.98,CANCELLED
O00306,C0065,2026-07-04,11209.07,PENDING
O00307,C0005,2026-07-12,13221.45,CANCELLED
O00308,C0010,2025-09-14,30316.63,COMPLETED
O00309,C0079,2025-10-10,17993.84,PENDING
O00310,C0075,2025-10-31,33420.99,COMPLETED
O00311,C0058,2025-10-22,22988.39,CANCELLED
O00312,C0078,2025-12-10,17797.17,COMPLETED
O00313,C0058,2026-06-19,28478.35,CANCELLED
O00314,C0092,2026-06-28,17906.94,DELIVERED
O00315,C0006,2026-04-06,24912.95,PENDING
O00316,C0068,2025-11-16,21538.29,CANCELLED
O00317,C0048,2026-03-19,13865.87,CANCELLED
O00318,C0087,2025-10-08,2306.61,CANCELLED
O00319,C0009,2026-02-23,3760.46,PENDING
O00320,C0037,2026-04-03,25468.81,DELIVERED
O00321,C0043,2026-06-30,20604.51,DELIVERED
O00322,C0118,2026-02-12,11202.99,PENDING
O00323,C0017,2025-10-10,24954.77,COMPLETED
O00324,C0040,2025-10-28,13495.44,CANCELLED
O00325,C0105,2026-06-06,23619.02,COMPLETED
O00326,C0083,2025-09-01,15107.52,CANCELLED
O00327,C0003,2026-02-06,11155.88,DELIVERED
O00328,C0044,2025-12-05,7124.18,DELIVERED
O00329,C0020,2026-07-02,10704.83,COMPLETED
O00330,C0065,2025-11-07,29311.63,COMPLETED
O00331,C0085,2026-02-19,30735.55,DELIVERED
O00332,C0077,2026-01-30,5821.72,DELIVERED
O00333,C0107,2025-08-21,27102.87,DELIVERED
O00334,C0093,2025-12-29,2007.39,CANCELLED
O00335,C0087,2026-04-11,33950.81,CANCELLED
O00336,C0097,2025-12-24,8573.1,DELIVERED
O00337,C0040,2025-12-13,31687.11,DELIVERED
O00338,C0048,2025-08-28,33175.99,PENDING
O00339,C0060,2026-03-19,27345.28,PENDING
O00340,C0021,2026-04-30,28143.44,DELIVERED
O00341,C0112,2026-04-04,2300.2,PENDING
O00342,C0112,2026-02-01,19631.66,COMPLETED
O00343,C0092,2025-11-19,29865.23,CANCELLED
O00344,C0011,2026-05-20,9911.3,DELIVERED
O00345,C0107,2025-12-30,3664.12,DELIVERED
O00346,C0105,2025-12-23,31019.73,COMPLETED
O00347,C0054,2026-07-14,14177.66,CANCELLED
O00348,C0031,2026-01-25,34811.12,CANCELLED
O00349,C0029,2026-07-27,11494.63,COMPLETED
O00350,C0108,2025-08-10,22923.64,DELIVERED
O00351,C0018,2026-07-22,10397.34,PENDING
O00352,C0090,2026-05-31,26680.02,PENDING
O00353,C0058,2025-09-29,681.17,COMPLETED
O00354,C0003,2026-04-01,7940.09,DELIVERED
O00355,C0071,2025-10-03,18708.12,COMPLETED
O00356,C0100,2026-03-16,8698.59,COMPLETED
O00357,C0007,2026-04-10,14983.98,PENDING
O00358,C0009,2026-06-15,29365.73,PENDING
O00359,C0077,2025-11-09,1067.02,DELIVERED
O00360,C0092,2026-05-29,10548.88,COMPLETED
O00361,C0079,2026-02-11,8799.47,PENDING
O00362,C0024,2025-09-04,23553.41,CANCELLED
O00363,C0009,2025-11-14,19270.83,COMPLETED
O00364,C0050,2025-12-13,2001.94,PENDING
O00365,C0048,2026-04-03,26282.42,CANCELLED
O00366,C0101,2026-07-07,12395.69,COMPLETED
O00367,C0099,2025-10-17,25863.95,CANCELLED
O00368,C0018,2026-07-19,12654.32,CANCELLED
O00369,C0105,2025-09-15,6540.57,PENDING
O00370,C0090,2025-12-08,22294.89,DELIVERED
O00371,C0009,2025-12-19,1775.94,DELIVERED
O00372,C0006,2026-04-30,31059.77,CANCELLED
O00373,C0120,2026-03-05,18280.73,PENDING
O00374,C0033,2026-07-23,26488.54,DELIVERED
O00375,C0037,2026-02-09,30243.78,COMPLETED
O00376,C0111,2025-09-09,11951.4,COMPLETED
O00377,C0103,2026-02-03,15574.82,PENDING
O00378,C0096,2025-12-28,31364.99,PENDING
O00379,C0044,2026-05-07,17619.01,PENDING
O00380,C0048,2025-11-18,9701.86,COMPLETED
O00381,C0094,2026-01-05,3222.98,DELIVERED
O00382,C0070,2026-03-13,11581.79,COMPLETED
O00383,C0042,2025-09-06,10699.58,PENDING
O00384,C0078,2026-01-04,6249.24,PENDING
O00385,C0045,2025-12-25,1961.25,CANCELLED
O00386,C0079,2025-12-31,9972.16,COMPLETED
O00387,C0010,2025-09-01,22494.18,CANCELLED
O00388,C0066,2025-08-28,6019.54,COMPLETED
O00389,C0019,2025-10-03,23894.07,PENDING
O00390,C0005,2026-06-07,2819.55,CANCELLED
O00391,C0047,2026-01-26,33256.62,COMPLETED
O00392,C0078,2026-05-24,23927.64,CANCELLED
O00393,C0048,2025-12-26,26826.41,DELIVERED
O00394,C0068,2026-02-04,14232.17,CANCELLED
O00395,C0032,2026-06-13,1394.01,DELIVERED
O00396,C0064,2025-11-18,13851.06,COMPLETED
O00397,C0034,2026-03-30,24789.3,DELIVERED
O00398,C0079,2026-03-17,24442.33,PENDING
O00399,C0026,2026-06-09,5182.63,COMPLETED
O00400,C0058,2026-05-14,31504.43,PENDING
O00401,C0012,2025-08-26,33880.86,CANCELLED
O00402,C0086,2026-02-14,24979.15,CANCELLED
O00403,C0115,2026-03-10,29871.99,DELIVERED
O00404,C0102,2026-02-06,18052.07,COMPLETED
O00405,C0026,2026-05-31,8667.4,PENDING
O00406,C0004,2026-02-07,19613.74,CANCELLED
O00407,C0060,2025-11-01,4977.11,COMPLETED
O00408,C0009,2026-03-05,14236.52,PENDING
O00409,C0068,2026-01-12,27036.18,COMPLETED
O00410,C0017,2026-03-01,22660.68,PENDING
O00411,C0060,2025-08-27,18348.92,DELIVERED
O00412,C0113,2025-11-01,22572.89,DELIVERED
O00413,C0099,2026-06-05,15425.33,COMPLETED
O00414,C0107,2026-06-08,18374.52,CANCELLED
O00415,C0022,2026-05-20,11631.8,DELIVERED
O00416,C0045,2025-11-18,31374.94,COMPLETED
O00417,C0033,2026-05-02,22409.47,CANCELLED
O00418,C0017,2025-09-24,10947.45,COMPLETED
O00419,C0065,2025-09-16,6317.94,DELIVERED
O00420,C0022,2025-09-07,22044.53,CANCELLED
O00021,C0101,2026-01-12,28177.11,DELIVERED
