ticket_id,customer_id,ticket_date,category,ticket_status
T00063,C0088,2026-06-16,ACCOUNT,OPEN
T00064,C0044,2026-03-22,PRODUCT,RESOLVED
T00065,C0034,2025-09-09,PRODUCT,OPEN
T00066,C0020,2025-11-19,DELIVERY,OPEN
T00067,C0104,2025-10-07,ACCOUNT,CLOSED
T00068,C0041,2025-08-27,DELIVERY,CLOSED
T00069,C0004,2025-09-09,ACCOUNT,RESOLVED
T00070,C0034,2026-01-08,ACCOUNT,RESOLVED
T00071,C0095,2026-07-23,DELIVERY,RESOLVED
T00072,C0093,2025-08-10,DELIVERY,CLOSED
T00073,C0069,2025-09-18,ACCOUNT,CLOSED
T00074,C0046,2025-11-24,PRODUCT,OPEN
T00075,C0108,2025-09-08,DELIVERY,RESOLVED
T00076,C0013,2025-12-12,DELIVERY,CLOSED
T00077,C0034,2025-10-28,DELIVERY,CLOSED
T00078,C0116,2026-02-20,PAYMENT,OPEN
T00079,C0046,2026-04-18,PRODUCT,RESOLVED
T00080,C0101,2026-02-22,PRODUCT,RESOLVED
T00081,C0075,2026-03-13,ACCOUNT,OPEN
T00082,C0061,2026-07-14,PAYMENT,RESOLVED
T00083,C0114,2026-05-03,PAYMENT,CLOSED
T00084,C0049,2025-11-12,PRODUCT,RESOLVED
T00085,C0007,2026-05-25,DELIVERY,OPEN
T00086,C0044,2026-01-13,ACCOUNT,OPEN
T00087,C0041,2026-05-10,PAYMENT,RESOLVED
T00088,C0043,2025-09-21,DELIVERY,RESOLVED
T00089,C0082,2026-07-12,PAYMENT,RESOLVED
T00090,C0036,2026-04-25,DELIVERY,CLOSED
T00091,C0098,2026-05-21,ACCOUNT,OPEN
T00092,C0017,2025-09-30,ACCOUNT,CLOSED
T00093,C0055,2026-01-16,ACCOUNT,RESOLVED
T00094,C0050,2026-08-08,PAYMENT,CLOSED
T00095,C0026,2026-01-31,PAYMENT,RESOLVED
T00096,C0097,2025-11-12,DELIVERY,OPEN
T00097,C0087,2026-08-08,DELIVERY,OPEN
T00098,C0089,2026-02-15,PRODUCT,OPEN
T00099,C0014,2026-01-26,PRODUCT,OPEN
T00100,C0009,2026-07-18,PRODUCT,RESOLVED
T00101,C0059,2025-11-17,PRODUCT,RESOLVED
T00102,C0114,2025-08-24,DELIVERY,RESOLVED
T00103,C0116,2025-12-03,PRODUCT,OPEN
T00104,C0022,2026-01-16,PAYMENT,OPEN
T00105,C0029,2026-06-04,DELIVERY,CLOSED
T00106,C0003,2025-10-13,DELIVERY,OPEN
T00107,C0047,2025-08-11,PAYMENT,RESOLVED
T00108,C0113,2025-09-17,PRODUCT,CLOSED
T00109,C0080,2026-07-17,PAYMENT,CLOSED
T00110,C0014,2025-09-10,PAYMENT,OPEN
T00111,C0089,2026-06-12,ACCOUNT,RESOLVED
T00112,C0049,2026-06-08,PRODUCT,RESOLVED
T00113,C0090,2026-05-24,DELIVERY,CLOSED
T00114,C0088,2025-09-22,PAYMENT,RESOLVED
T00115,C0054,2025-09-06,PAYMENT,CLOSED
T00116,C0067,2026-03-25,DELIVERY,RESOLVED
T00117,C0107,2026-06-18,PAYMENT,RESOLVED
T00118,C0015,2026-06-17,ACCOUNT,OPEN
T00119,C0078,2026-04-30,PRODUCT,CLOSED
T00120,C0026,2026-02-08,ACCOUNT,RESOLVED
T00121,C0021,2026-07-21,ACCOUNT,OPEN
T00122,C0089,2025-12-07,PRODUCT,OPEN
T00123,C0001,2026-08-04,PAYMENT,OPEN
T00124,C0107,2025-10-21,ACCOUNT,OPEN
T00125,C0012,2025-11-22,PAYMENT,CLOSED
T00126,C0093,2026-06-20,PRODUCT,CLOSED
T00127,C0030,2025-12-20,PRODUCT,RESOLVED
T00128,C0060,2026-07-16,PAYMENT,OPEN
T00129,C0112,2026-07-21,PRODUCT,RESOLVED
T00130,C0103,2025-08-29,PRODUCT,RESOLVED
T00131,C0095,2026-06-12,PAYMENT,OPEN
T00132,C0002,2026-06-01,DELIVERY,RESOLVED
T00133,C0046,2025-12-29,PRODUCT,CLOSED
T00134,C0012,2026-02-01,PRODUCT,OPEN
T00135,C0015,2026-01-17,ACCOUNT,RESOLVED
T00136,C0035,2026-01-25,ACCOUNT,RESOLVED
T00137,C0084,2026-05-17,PAYMENT,OPEN
T00138,C0090,2026-07-11,DELIVERY,OPEN
T00139,C0054,2025-10-12,ACCOUNT,CLOSED
T00140,C0087,2025-12-29,DELIVERY,CLOSED
T00141,C0049,2026-02-08,PAYMENT,CLOSED
T00142,C0113,2026-06-05,ACCOUNT,RESOLVED
T00143,C0015,2026-01-12,ACCOUNT,OPEN
T00144,C0009,2026-03-30,PRODUCT,OPEN
T00145,C0091,2025-08-28,DELIVERY,CLOSED
T00146,C0112,2026-02-18,PAYMENT,RESOLVED
T00147,C0085,2026-04-05,ACCOUNT,RESOLVED
T00148,C0085,2025-08-29,ACCOUNT,OPEN
T00149,C0108,2025-10-29,PAYMENT,OPEN
T00150,C0083,2026-05-22,ACCOUNT,RESOLVED
T00151,C0112,2026-05-18,PAYMENT,RESOLVED
T00152,C0042,2026-04-09,PRODUCT,RESOLVED
T00153,C0007,2025-11-24,DELIVERY,CLOSED
T00154,C0083,2026-01-29,ACCOUNT,OPEN
T00155,C0011,2025-12-18,ACCOUNT,CLOSED
T00156,C0058,2026-06-26,ACCOUNT,RESOLVED
T00157,C0041,2026-06-11,ACCOUNT,CLOSED
T00158,C0084,2026-08-01,PAYMENT,RESOLVED
T00159,C0053,2026-07-23,PAYMENT,OPEN
T00160,C0102,2025-10-05,PRODUCT,CLOSED
T00161,C0072,2026-04-27,ACCOUNT,RESOLVED
T00162,C0047,2026-07-14,DELIVERY,RESOLVED
T00163,C0043,2025-10-28,ACCOUNT,CLOSED
T00164,C0085,2026-02-05,ACCOUNT,OPEN
T00165,C0013,2025-09-07,DELIVERY,OPEN
T00166,C0044,2026-02-10,PRODUCT,CLOSED
T00167,C0067,2026-01-31,PAYMENT,OPEN
T00168,C0115,2026-05-18,ACCOUNT,OPEN
T00169,C0106,2026-01-13,PAYMENT,RESOLVED
T00170,C0079,2026-05-02,DELIVERY,OPEN
T00171,C0120,2026-01-21,DELIVERY,RESOLVED
T00172,C0106,2026-05-05,PRODUCT,OPEN
T00173,C0097,2026-01-10,PAYMENT,CLOSED
T00174,C0108,2025-08-31,PAYMENT,RESOLVED
T00175,C0059,2025-09-07,DELIVERY,RESOLVED
T00176,C0001,2025-11-12,PAYMENT,CLOSED
T00177,C0120,2026-01-01,ACCOUNT,CLOSED
T00178,C0100,2026-05-12,DELIVERY,CLOSED
T00179,C0105,2026-06-06,PAYMENT,RESOLVED
T00180,C0085,2025-10-07,PRODUCT,CLOSED
